date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:25:27	1515/1515	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2010%20Aug%202016%2000:41:09%20GMT	http://demo.mutationmedia.net/robots.txt		(from )
08:25:28	29270/29270	---MCZ	200	added ('OK')	text/html	date:Sat,%2028%20Dec%202013%2009:54:35%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/index.html	(from )
08:25:28	9053/9053	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Dec%202013%2016:51:41%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/css/font.css	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/css/font.css	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:25:29	3043/3043	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Dec%202013%2016:51:42%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/css/fontello.css	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/css/fontello.css	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:25:29	30448/30448	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Dec%202013%2021:02:27%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/css/main.css	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/css/main.css	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:25:29	8085/8085	---MCZ	200	added ('OK')	text/css	date:Tue,%2024%20Dec%202013%2016:51:43%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/css/magnific-popup.css	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/css/magnific-popup.css	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:25:43	87961/87961	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Dec%202013%2016:54:26%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/images/portfolioImages/work1.jpg	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/images/portfolioImages/work1.jpg	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:25:44	84486/84486	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Dec%202013%2016:54:43%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/images/portfolioImages/workLarge.jpg	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/images/portfolioImages/workLarge.jpg	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:25:45	118389/118389	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Dec%202013%2016:54:03%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/images/profile.jpg	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/images/profile.jpg	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:25:53	92593/92593	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202013%2016:54:09%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery-1.9.1.min.js	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery-1.9.1.min.js	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:25:55	16621/16621	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202013%2016:54:10%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery-migrate-1.2.1.js	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery-migrate-1.2.1.js	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:25:55	153759/153759	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Dec%202013%2016:54:30%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/images/portfolioImages/work2.jpg	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/images/portfolioImages/work2.jpg	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:25:56	8097/8097	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202013%2016:54:11%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery.easing.1.3.js	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery.easing.1.3.js	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:25:57	14697/14697	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202013%2016:54:14%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery.quicksand.js	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery.quicksand.js	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:25:57	2252/2252	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202013%2016:54:13%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery.scrollTo-min.js	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery.scrollTo-min.js	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:25:58	6784/6784	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202013%2016:54:17%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/js/slides.min.jquery.js	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/js/slides.min.jquery.js	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:25:59	7088/7088	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202013%2016:54:15%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery.tweet.js	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery.tweet.js	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:25:59	4037/4037	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202013%2016:54:17%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/js/waypoints.js	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/js/waypoints.js	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:25:59	1770/1770	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202013%2016:54:12%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery.parallax-1.1.3.js	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery.parallax-1.1.3.js	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:26:00	112826/112826	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Dec%202013%2016:54:38%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/images/portfolioImages/work4.jpg	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/images/portfolioImages/work4.jpg	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:26:00	1357/1357	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202013%2016:54:16%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery.ui.totop.min.js	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery.ui.totop.min.js	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:26:00	125699/125699	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Dec%202013%2016:54:37%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/images/portfolioImages/work3.jpg	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/images/portfolioImages/work3.jpg	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:26:00	6000/6000	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202013%2016:54:15%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery.simple-text-rotator.js	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery.simple-text-rotator.js	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:26:01	45813/45813	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202013%2016:54:12%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery.magnific-popup.js	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/js/jquery.magnific-popup.js	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:26:01	6387/6387	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202013%2016:54:16%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/js/script.js	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/js/script.js	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/)
08:26:02	18913/18913	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2024%20Dec%202013%2016:51:52%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/font/roboto-black-webfont.eot	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/font/roboto-black-webfont.eot	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/css/font.css)
08:26:04	53105/53105	---M--	200	added ('OK')	image/svg+xml	date:Tue,%2024%20Dec%202013%2016:51:57%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/font/roboto-black-webfont.svg	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/font/roboto-black-webfont.svg	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/css/font.css)
08:26:05	22828/22828	---M--	200	added ('OK')	application/x-font-woff	date:Tue,%2024%20Dec%202013%2016:51:58%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/font/roboto-black-webfont.woff	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/font/roboto-black-webfont.woff	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/css/font.css)
08:26:07	18913/18913	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2024%20Dec%202013%2016:51:52%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/font/roboto-black-webfont.eot?	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/font/roboto-black-webfontd41d.eot	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/css/font.css)
08:26:08	21997/21997	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2024%20Dec%202013%2016:51:59%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/font/roboto-blackitalic-webfont.eot	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/font/roboto-blackitalic-webfont.eot	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/css/font.css)
08:26:10	26148/26148	---M--	200	added ('OK')	application/x-font-woff	date:Tue,%2024%20Dec%202013%2016:52:05%20GMT	http://demo.mutationmedia.net/CONFIDENCEVCARD/font/roboto-blackitalic-webfont.woff	C:/My%20Web%20Sites/myportfolio/demo.mutationmedia.net/CONFIDENCEVCARD/font/roboto-blackitalic-webfont.woff	(from http://demo.mutationmedia.net/CONFIDENCEVCARD/css/font.css)
